Serial,Date (YMD),Event,Provincia,Code Provincia,Departamento,Code Departamento,Comments,Cause,Description of Cause,Source,DataCards,Evacuated,lat,lon,rio1.nombre,rio1.distancia,rio2.nombre,rio2.distancia
2014-00077:003,29/6/2014,FLOOD,Misiones,54,Capital,54028,La ruta nacional 14 quedó intransitable.,Llu y desb,Intensas lluvias ocurridas en norte del país,LN Digital 2014-07-01 P.16,1,0,-27.47659493,-55.92169961,Posadas,8.071972190649717,Santa Ana,38.102938316511526
2014-00033:003,6/2/2014,FLOOD,Buenos Aires,6,Berisso,6098,"Calles anegadas, complicaron la movilidad en la ciudad.",Llu y vie,"El Servicio Meteorológico Nacional, realizó un informe en el",LN Digital 2014-02-07/08/09,1,200,-34.84587606,-57.87973336,La Plata,0.7086464686144464,La Plata,1.4548433352502625
2014-00107:002,28/10/2014,FLOOD,Buenos Aires,6,La Matanza,6427,"Caída de árboles y carteles. Corte de suministro eléctrico en algunas zonas, afectando a casas particulares y semáforos.",Llu y desb,,LN Digital 2014-10-29; 2014-10-31 P.23; LN Digital 2014-11-05,1,400,-34.71417289,-58.50890438,Aº Medrano Reser. - Tecnópolis,8.89153321445818,Olivos,12.60587720528272
2014-00107,28/10/2014,FLOOD,Buenos Aires,6,,,"Calles anegadas, cortes de luz (400.000 personas en total), desbordes de cursos de agua y problemas en el tránsito y el transporte público (trenes, subtes, colectivos, vuelos).",Llu y desb,,LN Digital 2014-10-29; LN 2014-10-30 P.1,1,1000,,,nombre random,100000000.0,,
2014-00040,12/2/2014,FLOOD,Mendoza,50,Capital,50007,Se evacuaron a 100 personas.,Llu y desb,Crecida de cursos de agua.,LN Digital 2014-02-15; LN Digital 2014-02-16; CL 2014-02-16 P. 45; CL 2014-02-17,1,100,-32.87749385,-68.85278707,Mendoza - Guido,42.83537185120038,De los Patos - La Plateada,98.42604122569968
2015-00039:008,2/3/2015,FLOOD,Cordoba,14,Marcos Juarez,14063,Hubo autoevacuados,Llu y desb,,CL 2015-03-04 P. 31,1,0,-32.62947464,-62.30913162,Saladillo - Dique Aforador,15.818734181751458,Carcarañá - Cruz Alta,61.23895128577829
2015-00039:007,2/3/2015,FLOOD,Cordoba,14,Marcos Juarez,14063,Hubo autoevacuados,Llu y desb,,CL 2015-03-04 P. 31,1,0,-32.62947464,-62.30913162,Saladillo - Dique Aforador,15.818734181751458,Carcarañá - Cruz Alta,61.23895128577829
2015-00039:005,2/3/2015,FLOOD,Cordoba,14,Colon,14021,Hubo autoevacuados,Llu y desb,,CL 2015-03-04 P. 31,1,0,-31.25624481,-63.95340394,Guanasacate - Jesús Maria,20.699336046676912,Tercero - Piedras Moras,54.15920650202622
2015-00030:006,25/2/2015,FLOOD,Cordoba,14,San Justo,14140,"Hubo localidades anegadas, sin sumin, eléctrico y rutas cortadas.",Llu y desb,Más de 385 mm de lluvia.,CL 2015-02-26 P. 34,1,0,-31.23400374,-62.74066613,Segundo (Plujunta) - RP Nº 17,12.54553755897368,Aº Colastiné - Autopista - A01,198.9217124590651
2015-00030:005,25/2/2015,FLOOD,Cordoba,14,San Justo,14140,"Hubo localidades anegadas, sin sumin, eléctrico y rutas cortadas.",Llu y desb,Más de 385 mm de lluvia.,CL 2015-02-26 P. 34,1,0,-31.23400374,-62.74066613,Segundo (Plujunta) - RP Nº 17,12.54553755897368,Aº Colastiné - Autopista - A01,198.9217124590651
2015-00030:004,25/2/2015,FLOOD,Cordoba,14,San Justo,14140,"Hubo localidades anegadas, sin sumin, eléctrico y rutas cortadas.",Llu y desb,Más de 385 mm de lluvia.,CL 2015-02-26 P. 34,1,0,-31.23400374,-62.74066613,Segundo (Plujunta) - RP Nº 17,12.54553755897368,Aº Colastiné - Autopista - A01,198.9217124590651
2015-00030:001,25/2/2015,FLOOD,Cordoba,14,Rio Cuarto,14098,"Hubo localidades anegadas, sin sumin, eléctrico y rutas cortadas.",Llu y desb,Más de 385 mm de lluvia.,CL 2015-02-26 P. 34,1,0,-32.64751095,-64.22141859,Tercero - Piedras Moras,23.148056100829496,Cuarto - RN Nº 8,25.16090771757742
2015-00027,15/2/2015,FLOOD,Cordoba,14,,,"El oleaje del arroyo volteó un ombú e hizo tambalear los cimientos de una casa: un galpón de la parte baja quedó bajo el agua y voltearon la cocina del comedor, la terraza, un lavadero-dormitorio y otra habitación.",Llu y desb,300 mm de lluvia en 12 horas.,CL 2015-02-16 P. 30 CL 2015-02-17 P. 28 y 29,1,0,,,nombre random,100000000.0,,
2012-00083:005,6/9/2012,FLOOD,Buenos Aires,6,Villarino,6875,"Campos inundados, municipio declarado en emergencia agropecuaria.",RAIN,,LN Digital 2012-09-07,1,0,-39.4323988,-62.9350751,Colorado - Pedro Luro,29.236152091898845,Colorado - Pichi Mahuida,229.48187474964786
2015-00090:005,10/8/2015,FLOOD,Santa Fe,82,General Lopez,82042,,Llu y desb,Dbto. del río Carcarañá y del arroyo Saladillo.,CL 2015-08-12 P. 5; LN 2015-08-11 P. 23; LN 2015-08-13 P. 20,1,200,-34.17471073,-62.05032677,Compuerta Alternativa Norte AD,8.613930514307636,Lag. La Picasa-Inter. Can. A22,42.80013214256067
2015-00090.001,10/8/2015,FLOOD,Buenos Aires,6,General Pueyrredon,6357,"Hubo susp. de clases por el temporal de lluvias, calles anegadas y evacuados Escuelas sin sumin. eléctrico y filtraciones de agua.",Llu y desb,,LN 2015-08-11 P. 23,1,35,-37.80766254,-57.62989086,Mar del Plata,17.470209351835113,San Clemente,134.21992598668442
2015-00016,13/1/2015,FLOOD,Buenos Aires,6,,,Ruta Nacional 188 interrumpida entre las localidades San Nicolás y Pergamino,Llu y vie,,LN 2015-01-14 P. 26,1,0,,,nombre random,100000000.0,,
2015-00016:020,13/1/2015,FLOOD,Santa Fe,82,San Jeronimo,82105,Ruta Nacional 34 interrumpida,RAIN,,LN 2015-01-14 P. 26,1,0,-32.2399352,-61.231266,Aº Colastiné - Autopista - A01,29.33407112517597,San Lorenzo (San Martín),62.20823011563472
2015-00016:021,13/1/2015,FLOOD,Santa Fe,82,Vera,82133,La localidad quedó aislada por el agua.,RAIN,,LN 2015-01-14 P. 26,1,0,-29.72572798,-60.28951287,CIRHBAS - LIM  LAGUNA EL BONETE - ARROYO GOLONDRIN,34.10230849797655,Aº Malabrigo - RN Nº11,61.20087807281548
2015-00016:019,13/1/2015,FLOOD,Santa Fe,82,General Obligado,82049,La localidad quedó aislada por el agua.,RAIN,,LN 2015-01-14 P. 26,1,0,-28.6765561,-59.7497004,Aº Las Garzas - RN Nº 11,31.181505624901703,Aº Malabrigo - RN Nº11,33.968463718087904
2015-00016:009,13/1/2015,FLOOD,Chaco,22,San Fernando,22140,"Hubo caída de árboles y calles anegadas. 1 jóven herido por caída de una rama, sufrió taumatismo craneal y fue hospitalizado.",Llu y vie,,LN 2015-01-14 P. 26,1,0,-27.92561531,-59.31798172,CIRHBAS - LIM VILLA GUILLERMINA-ARROYO LOS AMORES,22.87946130564213,Negro - Laguna Blanca,40.00967873598881
2015-00016:008,13/1/2015,FLOOD,Chaco,22,,,Hubo caída de árboles y calles anegadas,Llu y vie,,LN 2015-01-14 P. 26,1,0,,,nombre random,100000000.0,,
2015-00134:016,23/12/2015,FLOOD,Chaco,22,Bermejo,22014,,Llu y desb,Dbto. del río Paraná,CL 2015-12-24 P. 40,1,2500,-26.92175039,-58.77874597,Paraguay - Las Palmas,18.897140647721372,Bermejo - Puerto Velaz,22.06879200826867
