Nombre,Code Departamento,lat,lon,Provincia
SAN JERONIMO,82105,-32.2399352,-61.231266,SANTA FE
YAVI,38112,-22.32981174,-65.82598231,JUJUY
EL CUY,62035,-39.86671829,-68.70343781,RÍO NEGRO
PERGAMINO,06623,-33.5893048,-60.7727646,BUENOS AIRES
VILLA GESELL,06868,-37.33667316,-57.03250147,BUENOS AIRES
GENERAL PAZ,06343,-35.45190573,-58.26954177,BUENOS AIRES
ATREUCO,42007,-37.12629611,-63.82921122,LA PAMPA
25 DE MAYO,62091,-41.5127138,-69.51735638,RÍO NEGRO
RAWSON,70077,-31.6492,-68.5015,SAN JUAN
GENERAL JUAN MADARIAGA,06315,-37.02462769,-56.95607376,BUENOS AIRES
PRESIDENCIA DE LA PLAZA,22119,-26.84889313,-59.87023116,CHACO
ALBARDON,70007,-31.32696915,-68.41723633,SAN JUAN
PUNTA INDIO,06655,-35.350566,-57.297616,BUENOS AIRES
LEZAMA,06466,-35.87482487,-57.89642268,BUENOS AIRES
TOLHUIN,94035,-54.51138676,-67.19580446,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR"
CASTRO BARROS,46021,-28.9634753,-66.99905992,LA RIOJA
GENERAL SAN MARTÍN,46091,-31.69222606,-65.88603902,LA RIOJA
ZARATE,06882,-33.9804188,-59.2846864,BUENOS AIRES
9 DE JULIO,22105,-27.01701868,-61.18742808,CHACO
JIMENEZ,86091,-26.68895431,-64.45447124,SANTIAGO DEL ESTERO
LIBERTAD,22077,-27.26945671,-59.21122233,CHACO
AVELLANEDA,86028,-28.70814175,-63.1050531,SANTIAGO DEL ESTERO
RIO GRANDE,94007,-52.88412863,-68.44878312,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR"
RIVADAVIA,86154,-29.83512,-62.16991,SANTIAGO DEL ESTERO
COMUNA 7,02007,-34.63680708,-58.45826985,CIUDAD DE BUENOS AIRES
CATRILO,42028,-36.67294558,-63.66446349,LA PAMPA
RINCONADA,38049,-22.53894,-65.96138,JUJUY
SAN BLAS DE LOS SAUCES,46119,-28.32074846,-67.05337607,LA RIOJA
LAS FLORES,06455,-36.3036243,-59.3193839,BUENOS AIRES
RIVADAVIA,06679,-35.4640821,-62.8552805,BUENOS AIRES
MAYOR LUIS J FONTANA,22098,-27.68955287,-60.83488783,CHACO
ISLAS DEL ATLANTICO SUR,94021,-51.80653183,-58.95965896,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR"
COMUNA 5,02005,-34.60922769,-58.42174523,CIUDAD DE BUENOS AIRES
SAAVEDRA,06700,-37.72446606,-62.10173503,BUENOS AIRES
ÑORQUINCO,62056,-41.68252462,-70.71325062,RÍO NEGRO
GENERAL GUIDO,06308,-36.6656205,-58.0745242,BUENOS AIRES
CORONEL DORREGO,06189,-38.7655502,-61.4127594,BUENOS AIRES
25 DE MAYO,06854,-35.2813845,-60.2618183,BUENOS AIRES
9 DE JULIO,70063,-31.70219126,-68.36862207,SAN JUAN
BERMEJO,22014,-26.92175039,-58.77874597,CHACO
MARCOS JUAREZ,14063,-32.62947464,-62.30913162,CÓRDOBA
CAPITAL,18021,-27.4064,-58.78276,CORRIENTES
LA PLATA,06441,-35.03880607,-58.05930616,BUENOS AIRES
HUILICHES,58049,-39.73103584,-71.07764941,NEUQUÉN
EL CARMEN,38014,-24.4262104,-65.10740662,JUJUY
ROJAS,06686,-34.2433108,-60.532499,BUENOS AIRES
LA PAZ,10070,-28.71805191,-65.2964859,CATAMARCA
GENERAL OBLIGADO,82049,-28.6765561,-59.7497004,SANTA FE
SALAVINA,86168,-29.03431036,-63.33874661,SANTIAGO DEL ESTERO
BANDA,86035,-27.59548811,-64.41117012,SANTIAGO DEL ESTERO
