system:index,Code Departamento,Code Provincia,Date (YMD),Departamento,Provincia,codeRio,distanciaRio,elevacion_m,estacion,fecha0,fechas,hayRioCercano,idx,lat,lon,pendiente_grados,precipitation_sum,runoff_sum,temperature_2m,tipoDeSuelo,total_evaporation_sum,volumetric_soil_water_layer_1,.geo
0,54028,54,6/12/2005,Capital,Misiones,14-14,8.07,150,primavera,2005-12-05,"[2005-12-05, 2005-12-06, 2005-12-07, 2005-12-08, 2005-12-09, 2005-12-10, 2005-12-11]",true,0,-27.47659493,-55.92169961,2.79,"[34.7, 0, 0, 0, 0, 0, 0]",0.004865795373916626,297.9346555074056,Alfisoles,-0.002089269459247589,0.3829345703125,"{""type"":""Point"",""coordinates"":[-55.92169961,-27.47659493]}"
1,06098,6,9/1/1994,Berisso,Buenos Aires,3314-1708,0.7,7,verano,1994-01-03,"[1994-01-03, 1994-01-04, 1994-01-05, 1994-01-06, 1994-01-07, 1994-01-08, 1994-01-09]",true,1,-34.84587606,-57.87973336,3.58,"[0, 0, 0, 0, 0.2, 1, 0]",,,Miscelaneas,,,"{""type"":""Point"",""coordinates"":[-57.87973336,-34.84587606]}"
2,06427,6,14/11/2002,La Matanza,Buenos Aires,33486-6512,4.98,8,primavera,2002-11-11,"[2002-11-11, 2002-11-12, 2002-11-13, 2002-11-14, 2002-11-15, 2002-11-16, 2002-11-17]",true,2,-34.71417289,-58.50890438,7.28,"[1.9, 0, 0, 2.3, 0, 0, 7.5]",0.0013237148523330688,287.6846618652344,Molisoles,-0.004944538697600365,0.4578711191813151,"{""type"":""Point"",""coordinates"":[-58.50890437999999,-34.71417289000001]}"
3,50007,50,21/12/2000,Capital,Mendoza,6840-2183,42.83,771,primavera,2000-12-18,"[2000-12-18, 2000-12-19, 2000-12-20, 2000-12-21, 2000-12-22, 2000-12-23, 2000-12-24]",false,3,-32.87749385,-68.85278707,2.88,"[0.1, 0.6, 0.7, 0.3, 0, 0, 0]",2.86102294921875E-4,295.8098227183024,Entisoles,-0.0029987944290041924,0.2013117472330729,"{""type"":""Point"",""coordinates"":[-68.85278707,-32.87749385]}"
4,14063,14,20/4/2009,Marcos Juarez,Cordoba,34344-6360,15.81,117,otoño,2009-04-20,"[2009-04-20, 2009-04-21, 2009-04-22, 2009-04-23, 2009-04-24, 2009-04-25, 2009-04-26]",false,4,-32.62947464,-62.30913162,1.44,"[0, 0, 0, 0, 0, 0, 0]",3.5315752029418945E-6,288.496342976888,Molisoles,-0.0015195226296782494,0.3992970784505208,"{""type"":""Point"",""coordinates"":[-62.30913162,-32.629474640000005]}"
5,14063,14,11/5/1994,Marcos Juarez,Cordoba,34344-6360,15.81,117,otoño,1994-05-09,"[1994-05-09, 1994-05-10, 1994-05-11, 1994-05-12, 1994-05-13, 1994-05-14, 1994-05-15]",false,5,-32.62947464,-62.30913162,1.44,"[0, 0.7, 0.6, 0, 0, 0, 0]",2.9690563678741455E-4,286.6697572072347,Molisoles,-0.0016267448663711548,0.46624755859375,"{""type"":""Point"",""coordinates"":[-62.30913162,-32.629474640000005]}"
6,14021,14,23/8/1991,Colon,Cordoba,33948-6745,20.69,355,invierno,1991-08-19,"[1991-08-19, 1991-08-20, 1991-08-21, 1991-08-22, 1991-08-23, 1991-08-24, 1991-08-25]",false,6,-31.25624481,-63.95340394,0.93,"[0, 3.7, 6.1, 10.5, 0, 0.2, 14.3]",3.291666507720947E-5,288.0463473002116,Miscelaneas,-0.001361645758152008,0.27682940165201825,"{""type"":""Point"",""coordinates"":[-63.953403939999994,-31.256244809999995]}"
7,14140,14,12/4/2006,San Justo,Cordoba,6955-2119,12.54,107,otoño,2006-04-10,"[2006-04-10, 2006-04-11, 2006-04-12, 2006-04-13, 2006-04-14, 2006-04-15, 2006-04-16]",true,7,-31.23400374,-62.74066613,1.08,"[0, 0, 0, 3.5, 1.7, 0, 0]",2.339482307434082E-6,293.0799102783203,Alfisoles,-0.002428884617984295,0.36218833923339844,"{""type"":""Point"",""coordinates"":[-62.74066613,-31.234003740000002]}"
8,14140,14,28/5/1992,San Justo,Cordoba,6955-2119,12.54,107,otoño,1992-05-25,"[1992-05-25, 1992-05-26, 1992-05-27, 1992-05-28, 1992-05-29, 1992-05-30, 1992-05-31]",true,8,-31.23400374,-62.74066613,1.08,"[0, 3.2, 1.8, 0.7, 0, 0, 0]",2.9265880584716797E-5,289.3721040089925,Alfisoles,-0.0013223402202129364,0.28954633076985675,"{""type"":""Point"",""coordinates"":[-62.74066613,-31.234003740000002]}"
9,14140,14,28/6/2004,San Justo,Cordoba,6955-2119,12.54,107,invierno,2004-06-28,"[2004-06-28, 2004-06-29, 2004-06-30, 2004-07-01, 2004-07-02, 2004-07-03, 2004-07-04]",true,9,-31.23400374,-62.74066613,1.08,"[0, 0.7, 0.1, 0, 0, 0, 0]",1.3679265975952148E-5,288.5836232503255,Alfisoles,-7.775872945785522E-4,0.2635396321614583,"{""type"":""Point"",""coordinates"":[-62.74066613,-31.234003740000002]}"
