system:index,Code Departamento,Code Provincia,Date (YMD),Departamento,Provincia,codeRio,distanciaRio,estacion,fecha0,fechas,hayRioCercano,idx,lat,lon,runoff_sum,temperature_2m,tipoDeSuelo,total_evaporation_sum,volumetric_soil_water_layer_1,.geo
0,38105,hay que cambiarlo,29/6/2014,hay que cambiarlo,hay que cambiarlo,33117-6463,19.12,invierno,2014-06-23,"[2014-06-23, 2014-06-24, 2014-06-25, 2014-06-26, 2014-06-27, 2014-06-28, 2014-06-29]",false,0,-23.56311433,-64.89713769,0.0012827962636947632,284.4264456431071,Roca,-0.001705019734799862,0.45049794514973956,"{""type"":""Point"",""coordinates"":[-64.89713769,-23.563114329999998]}"
1,22168,hay que cambiarlo,6/2/2014,hay que cambiarlo,hay que cambiarlo,36786-7204,31.89,verano,2014-02-03,"[2014-02-03, 2014-02-04, 2014-02-05, 2014-02-06, 2014-02-07, 2014-02-08, 2014-02-09]",false,1,-26.61293466,-59.90404881,1.1920928955078125E-7,306.72318776448566,Molisoles,-0.0016061421483755112,0.13782819112141928,"{""type"":""Point"",""coordinates"":[-59.90404880999999,-26.612934660000004]}"
2,22049,hay que cambiarlo,28/10/2014,hay que cambiarlo,hay que cambiarlo,36729-7190,65.96,primavera,2014-10-27,"[2014-10-27, 2014-10-28, 2014-10-29, 2014-10-30, 2014-10-31, 2014-11-01, 2014-11-02]",false,2,-26.96507701,-61.03071359,8.940696716308594E-8,306.69761848449707,Inceptisoles,-0.00259489007294178,0.12041664123535156,"{""type"":""Point"",""coordinates"":[-61.03071359,-26.96507701]}"
3,06819,hay que cambiarlo,12/2/2014,hay que cambiarlo,hay que cambiarlo,34120-6732,17.08,verano,2014-02-10,"[2014-02-10, 2014-02-11, 2014-02-12, 2014-02-13, 2014-02-14, 2014-02-15, 2014-02-16]",false,3,-38.41312,-62.79452,4.470348358154297E-8,300.13083775838214,Roca,-0.0011942209675908089,0.15401713053385416,"{""type"":""Point"",""coordinates"":[-62.79452,-38.41312]}"
4,06466,hay que cambiarlo,2/3/2015,hay que cambiarlo,hay que cambiarlo,6766-2227,7.15,verano,2015-03-02,"[2015-03-02, 2015-03-03, 2015-03-04, 2015-03-05, 2015-03-06, 2015-03-07, 2015-03-08]",true,4,-35.87482487,-57.89642268,5.011260509490967E-5,297.0473639170329,Complejo indiferenci,-0.003572949208319187,0.3305473327636719,"{""type"":""Point"",""coordinates"":[-57.89642268000001,-35.87482487]}"
5,38035,hay que cambiarlo,2/3/2015,hay que cambiarlo,hay que cambiarlo,33117-6463,14.96,verano,2015-03-02,"[2015-03-02, 2015-03-03, 2015-03-04, 2015-03-05, 2015-03-06, 2015-03-07, 2015-03-08]",true,5,-23.88497353,-64.67390442,7.896274328231812E-4,297.0839850107829,Roca,-0.003155658021569252,0.4683392842610677,"{""type"":""Point"",""coordinates"":[-64.67390442,-23.884973529999996]}"
6,50035,hay que cambiarlo,2/3/2015,hay que cambiarlo,hay que cambiarlo,37581-7388,39.16,verano,2015-03-02,"[2015-03-02, 2015-03-03, 2015-03-04, 2015-03-05, 2015-03-06, 2015-03-07, 2015-03-08]",false,6,-33.15090031,-68.40880629,4.589557647705078E-6,296.4230963389079,Entisoles,-0.0027655940502882004,0.20466740926106772,"{""type"":""Point"",""coordinates"":[-68.40880629,-33.15090030999999]}"
7,70063,hay que cambiarlo,25/2/2015,hay que cambiarlo,hay que cambiarlo,32300-6465,31.52,verano,2015-02-23,"[2015-02-23, 2015-02-24, 2015-02-25, 2015-02-26, 2015-02-27, 2015-02-28, 2015-03-01]",false,7,-31.70219126,-68.36862207,0.0,298.4912757873535,Entisoles,-7.913690060377121E-4,0.06879615783691406,"{""type"":""Point"",""coordinates"":[-68.36862207,-31.702191260000003]}"
8,06119,hay que cambiarlo,25/2/2015,hay que cambiarlo,hay que cambiarlo,7058-2230,12.02,verano,2015-02-23,"[2015-02-23, 2015-02-24, 2015-02-25, 2015-02-26, 2015-02-27, 2015-02-28, 2015-03-01]",true,8,-34.9854674,-58.1762428,5.459785461425781E-5,297.6568031311035,Molisoles,-0.0032756710425019264,0.3251050313313802,"{""type"":""Point"",""coordinates"":[-58.176242800000004,-34.98546739999999]}"
9,42035,hay que cambiarlo,25/2/2015,hay que cambiarlo,hay que cambiarlo,32779-6443,34.37,verano,2015-02-23,"[2015-02-23, 2015-02-24, 2015-02-25, 2015-02-26, 2015-02-27, 2015-02-28, 2015-03-01]",false,9,-35.96125794,-64.4406662,8.940696716308594E-8,298.4687334696452,Molisoles,-0.002078721299767494,0.19480768839518228,"{""type"":""Point"",""coordinates"":[-64.4406662,-35.96125794]}"
